detector,nfeatures,upscale_factor,num_visual_words,training_subset_size,svm_kernel,svm_C,svm_gamma,mAP,test_accuracy,training_time,total_time
SIFT,500,4,500,0.5,rbf,1.0,0.001,0.3934566217056915,0.346,7.357604026794434,7.357604026794434
SIFT,500,4,500,0.5,rbf,10.0,scale,0.41839984935177077,0.418,17.0456702709198,17.0456702709198
SIFT,500,4,500,0.5,rbf,10.0,0.01,0.39756898931159845,0.393,8.934166193008423,8.934166193008423
SIFT,500,4,500,0.5,rbf,10.0,0.001,0.39280736260104276,0.394,7.840774059295654,7.840774059295654
SIFT,500,4,1000,0.3,linear,0.1,scale,0.3981014966661308,0.389,37.22379803657532,37.22379803657532
SIFT,500,4,1000,0.3,linear,0.1,0.01,0.3981014966661308,0.389,37.42109274864197,37.42109274864197
SIFT,500,4,1000,0.3,linear,0.1,0.001,0.3981014966661308,0.389,37.76860284805298,37.76860284805298
SIFT,500,4,1000,0.3,linear,1.0,scale,0.3972674544646577,0.395,39.8515248298645,39.8515248298645
SIFT,500,4,1000,0.3,linear,1.0,0.01,0.3972674544646577,0.395,39.711843967437744,39.711843967437744
SIFT,500,4,1000,0.3,linear,1.0,0.001,0.3972674544646577,0.395,39.73499083518982,39.73499083518982
SIFT,500,4,1000,0.3,linear,10.0,scale,0.39765311927834024,0.399,39.52322602272034,39.52322602272034
SIFT,500,4,1000,0.3,linear,10.0,0.01,0.39765311927834024,0.399,37.048481941223145,37.048481941223145
SIFT,500,4,1000,0.3,linear,10.0,0.001,0.39765311927834024,0.399,37.56392693519592,37.56392693519592
SIFT,500,4,1000,0.3,rbf,0.1,scale,0.4539326485899446,0.45,49.509981870651245,49.509981870651245
SIFT,500,4,1000,0.3,rbf,0.1,0.01,0.3903662631322629,0.337,29.434109926223755,29.434109926223755
SIFT,500,4,1000,0.3,rbf,0.1,0.001,0.39031130953870175,0.309,29.34028697013855,29.34028697013855
SIFT,500,4,1000,0.3,rbf,1.0,scale,0.45402226203176826,0.444,47.348310708999634,47.348310708999634
SIFT,500,4,1000,0.3,rbf,1.0,0.01,0.40034295881724463,0.398,30.814419984817505,30.814419984817505
SIFT,500,4,1000,0.3,rbf,1.0,0.001,0.3970714419295641,0.341,22.99237871170044,22.99237871170044
SIFT,500,4,1000,0.3,rbf,10.0,scale,0.43286811798629665,0.43,61.99587607383728,61.99587607383728
