detector,nfeatures,upscale_factor,num_visual_words,training_subset_size,svm_kernel,svm_C,svm_gamma,mAP,test_accuracy,training_time,total_time
SIFT,500,4,1000,0.3,rbf,10.0,0.01,0.3998360935146127,0.395,29.000313758850098,29.000313758850098
SIFT,500,4,1000,0.3,rbf,10.0,0.001,0.39928890404912354,0.395,25.017646074295044,25.017646074295044
SIFT,500,4,1000,0.4,linear,0.1,scale,0.38088038764559845,0.385,20.29363203048706,20.29363203048706
SIFT,500,4,1000,0.4,linear,0.1,0.01,0.38088038764559845,0.385,20.738152980804443,20.738152980804443
SIFT,500,4,1000,0.4,linear,0.1,0.001,0.38088038764559845,0.385,21.52382731437683,21.52382731437683
SIFT,500,4,1000,0.4,linear,1.0,scale,0.38428408053758983,0.39,22.86506986618042,22.86506986618042
SIFT,500,4,1000,0.4,linear,1.0,0.01,0.38428408053758983,0.39,23.29283881187439,23.29283881187439
SIFT,500,4,1000,0.4,linear,1.0,0.001,0.38428408053758983,0.39,23.35775113105774,23.35775113105774
SIFT,500,4,1000,0.4,linear,10.0,scale,0.38326760524270126,0.392,24.13895893096924,24.13895893096924
SIFT,500,4,1000,0.4,linear,10.0,0.01,0.38326760524270126,0.392,24.34926414489746,24.34926414489746
SIFT,500,4,1000,0.4,linear,10.0,0.001,0.38326760524270126,0.392,24.851737022399902,24.851737022399902
SIFT,500,4,1000,0.4,rbf,0.1,scale,0.43354422265153963,0.447,34.83970499038696,34.83970499038696
SIFT,500,4,1000,0.4,rbf,0.1,0.01,0.38805108297849733,0.253,19.2502281665802,19.2502281665802
SIFT,500,4,1000,0.4,rbf,0.1,0.001,0.38375983683530684,0.284,19.347841024398804,19.347841024398804
SIFT,500,4,1000,0.4,rbf,1.0,scale,0.4341266350971285,0.449,32.764203786849976,32.764203786849976
SIFT,500,4,1000,0.4,rbf,1.0,0.01,0.3762057724306237,0.385,19.36982798576355,19.36982798576355
SIFT,500,4,1000,0.4,rbf,1.0,0.001,0.38051474192394436,0.227,16.550920963287354,16.550920963287354
SIFT,500,4,1000,0.4,rbf,10.0,scale,0.41047310889538213,0.407,36.564794063568115,36.564794063568115
SIFT,500,4,1000,0.4,rbf,10.0,0.01,0.3850850665196199,0.387,19.488150119781494,19.488150119781494
SIFT,500,4,1000,0.4,rbf,10.0,0.001,0.37854795207633063,0.388,17.366928100585938,17.366928100585938
SIFT,500,4,1000,0.5,linear,0.1,scale,0.4005565811955608,0.404,14.28331708908081,14.28331708908081
SIFT,500,4,1000,0.5,linear,0.1,0.01,0.4005565811955608,0.404,13.7236909866333,13.7236909866333
SIFT,500,4,1000,0.5,linear,0.1,0.001,0.4005565811955608,0.404,13.952679872512817,13.952679872512817
SIFT,500,4,1000,0.5,linear,1.0,scale,0.40167157769587536,0.404,15.180064916610718,15.180064916610718
SIFT,500,4,1000,0.5,linear,1.0,0.01,0.40167157769587536,0.404,16.903202772140503,16.903202772140503
SIFT,500,4,1000,0.5,linear,1.0,0.001,0.40167157769587536,0.404,17.282823085784912,17.282823085784912
SIFT,500,4,1000,0.5,linear,10.0,scale,0.40199344348749183,0.403,17.468780994415283,17.468780994415283
SIFT,500,4,1000,0.5,linear,10.0,0.01,0.40199344348749183,0.403,17.519629955291748,17.519629955291748
SIFT,500,4,1000,0.5,linear,10.0,0.001,0.40199344348749183,0.403,17.385563135147095,17.385563135147095
SIFT,500,4,1000,0.5,rbf,0.1,scale,0.4576289771658943,0.458,26.4407639503479,26.4407639503479
SIFT,500,4,1000,0.5,rbf,0.1,0.01,0.40339650382272463,0.356,14.452493906021118,14.452493906021118
SIFT,500,4,1000,0.5,rbf,0.1,0.001,0.40497349432496427,0.345,14.60177493095398,14.60177493095398
SIFT,500,4,1000,0.5,rbf,1.0,scale,0.45687987955806,0.462,23.951193809509277,23.951193809509277
SIFT,500,4,1000,0.5,rbf,1.0,0.01,0.40199988622380173,0.413,15.720471143722534,15.720471143722534
SIFT,500,4,1000,0.5,rbf,1.0,0.001,0.4002125249058651,0.319,14.277831792831421,14.277831792831421
SIFT,500,4,1000,0.5,rbf,10.0,scale,0.42503165049330854,0.43,27.235168933868408,27.235168933868408
SIFT,500,4,1000,0.5,rbf,10.0,0.01,0.40287676925663424,0.408,13.702546834945679,13.702546834945679
SIFT,500,4,1000,0.5,rbf,10.0,0.001,0.39627261183244655,0.397,11.72573709487915,11.72573709487915
SIFT,500,4,1500,0.3,linear,0.1,scale,0.40767588834096224,0.411,41.43142223358154,41.43142223358154
SIFT,500,4,1500,0.3,linear,0.1,0.01,0.40767588834096224,0.411,42.1256000995636,42.1256000995636
SIFT,500,4,1500,0.3,linear,0.1,0.001,0.40767588834096224,0.411,45.739076137542725,45.739076137542725
SIFT,500,4,1500,0.3,linear,1.0,scale,0.4088458852633431,0.413,51.61839318275452,51.61839318275452
SIFT,500,4,1500,0.3,linear,1.0,0.01,0.4088458852633431,0.413,53.0230278968811,53.0230278968811
SIFT,500,4,1500,0.3,linear,1.0,0.001,0.4088458852633431,0.413,53.081949949264526,53.081949949264526
SIFT,500,4,1500,0.3,linear,10.0,scale,0.40911844537821995,0.416,53.672789096832275,53.672789096832275
SIFT,500,4,1500,0.3,linear,10.0,0.01,0.40911844537821995,0.416,53.57191514968872,53.57191514968872
SIFT,500,4,1500,0.3,linear,10.0,0.001,0.40911844537821995,0.416,53.46086120605469,53.46086120605469
SIFT,500,4,1500,0.3,rbf,0.1,scale,0.4713531063322334,0.479,70.82870602607727,70.82870602607727
SIFT,500,4,1500,0.3,rbf,0.1,0.01,0.4036365622574383,0.382,39.34553527832031,39.34553527832031
SIFT,500,4,1500,0.3,rbf,0.1,0.001,0.3969094220380314,0.339,38.82682514190674,38.82682514190674
SIFT,500,4,1500,0.3,rbf,1.0,scale,0.4715969410931008,0.482,66.06031203269958,66.06031203269958
SIFT,500,4,1500,0.3,rbf,1.0,0.01,0.4027306482196805,0.409,41.5908989906311,41.5908989906311
SIFT,500,4,1500,0.3,rbf,1.0,0.001,0.40693562666771205,0.295,31.183566093444824,31.183566093444824
SIFT,500,4,1500,0.3,rbf,10.0,scale,0.4394755604689632,0.442,76.56136775016785,76.56136775016785
SIFT,500,4,1500,0.3,rbf,10.0,0.01,0.40978807097433245,0.42,42.86836290359497,42.86836290359497
SIFT,500,4,1500,0.3,rbf,10.0,0.001,0.399219465903948,0.401,35.66701316833496,35.66701316833496
SIFT,500,4,1500,0.4,linear,0.1,scale,0.406348848531122,0.407,31.230153799057007,31.230153799057007
SIFT,500,4,1500,0.4,linear,0.1,0.01,0.406348848531122,0.407,30.803279161453247,30.803279161453247
SIFT,500,4,1500,0.4,linear,0.1,0.001,0.406348848531122,0.407,30.715116024017334,30.715116024017334
SIFT,500,4,1500,0.4,linear,1.0,scale,0.4055655364988745,0.41,34.19058704376221,34.19058704376221
SIFT,500,4,1500,0.4,linear,1.0,0.01,0.4055655364988745,0.41,35.305596113204956,35.305596113204956
SIFT,500,4,1500,0.4,linear,1.0,0.001,0.4055655364988745,0.41,37.0669891834259,37.0669891834259
SIFT,500,4,1500,0.4,linear,10.0,scale,0.4071323081975737,0.408,38.3519651889801,38.3519651889801
SIFT,500,4,1500,0.4,linear,10.0,0.01,0.4071323081975737,0.408,38.88147711753845,38.88147711753845
SIFT,500,4,1500,0.4,linear,10.0,0.001,0.4071323081975737,0.408,38.735710859298706,38.735710859298706
SIFT,500,4,1500,0.4,rbf,0.1,scale,0.46849177233801775,0.459,51.980875968933105,51.980875968933105
SIFT,500,4,1500,0.4,rbf,0.1,0.01,0.4022008767981486,0.221,28.557491064071655,28.557491064071655
SIFT,500,4,1500,0.4,rbf,0.1,0.001,0.39858478349144477,0.276,28.413891077041626,28.413891077041626
SIFT,500,4,1500,0.4,rbf,1.0,scale,0.4685113329555116,0.454,48.70714807510376,48.70714807510376
SIFT,500,4,1500,0.4,rbf,1.0,0.01,0.40441258438674027,0.407,28.44312882423401,28.44312882423401
SIFT,500,4,1500,0.4,rbf,1.0,0.001,0.4005895091431242,0.372,24.081758975982666,24.081758975982666
SIFT,500,4,1500,0.4,rbf,10.0,scale,0.44117216066737697,0.442,55.9121310710907,55.9121310710907
SIFT,500,4,1500,0.4,rbf,10.0,0.01,0.4066435324894605,0.409,30.057312965393066,30.057312965393066
SIFT,500,4,1500,0.4,rbf,10.0,0.001,0.4026594424198621,0.412,24.3353590965271,24.3353590965271
SIFT,500,4,1500,0.5,linear,0.1,scale,0.39163824387225316,0.419,20.307260990142822,20.307260990142822
SIFT,500,4,1500,0.5,linear,0.1,0.01,0.39163824387225316,0.419,20.019439935684204,20.019439935684204
SIFT,500,4,1500,0.5,linear,0.1,0.001,0.39163824387225316,0.419,20.34059500694275,20.34059500694275
SIFT,500,4,1500,0.5,linear,1.0,scale,0.39441391279844495,0.417,25.452789068222046,25.452789068222046
SIFT,500,4,1500,0.5,linear,1.0,0.01,0.39441391279844495,0.417,25.729857206344604,25.729857206344604
SIFT,500,4,1500,0.5,linear,1.0,0.001,0.39441391279844495,0.417,26.002714157104492,26.002714157104492
SIFT,500,4,1500,0.5,linear,10.0,scale,0.3958660513520252,0.424,26.66476321220398,26.66476321220398
SIFT,500,4,1500,0.5,linear,10.0,0.01,0.3958660513520252,0.424,26.97825002670288,26.97825002670288
SIFT,500,4,1500,0.5,linear,10.0,0.001,0.3958660513520252,0.424,27.461036205291748,27.461036205291748
SIFT,500,4,1500,0.5,rbf,0.1,scale,0.4616714605169975,0.45,38.19593596458435,38.19593596458435
SIFT,500,4,1500,0.5,rbf,0.1,0.01,0.3840201231542424,0.367,19.832020044326782,19.832020044326782
SIFT,500,4,1500,0.5,rbf,0.1,0.001,0.3806129253681179,0.232,19.90662407875061,19.90662407875061
SIFT,500,4,1500,0.5,rbf,1.0,scale,0.4613070657477378,0.448,34.61400389671326,34.61400389671326
SIFT,500,4,1500,0.5,rbf,1.0,0.01,0.3872774494973431,0.414,20.359087228775024,20.359087228775024
SIFT,500,4,1500,0.5,rbf,1.0,0.001,0.3844295937111082,0.324,17.96983289718628,17.96983289718628
SIFT,500,4,1500,0.5,rbf,10.0,scale,0.4370996013735181,0.416,36.823508977890015,36.823508977890015
SIFT,500,4,1500,0.5,rbf,10.0,0.01,0.39427712556773586,0.421,21.550939083099365,21.550939083099365
SIFT,500,4,1500,0.5,rbf,10.0,0.001,0.3875633731164899,0.411,17.717365026474,17.717365026474
SIFT,500,2,500,0.3,linear,0.1,scale,0.38811108295010954,0.382,14.398031949996948,14.398031949996948
SIFT,500,2,500,0.3,linear,0.1,0.01,0.38811108295010954,0.382,14.216248750686646,14.216248750686646
SIFT,500,2,500,0.3,linear,0.1,0.001,0.38811108295010954,0.382,12.886383056640625,12.886383056640625
SIFT,500,2,500,0.3,linear,1.0,scale,0.3955546112901004,0.38,14.700839757919312,14.700839757919312
SIFT,500,2,500,0.3,linear,1.0,0.01,0.3955546112901004,0.38,14.725280046463013,14.725280046463013
SIFT,500,2,500,0.3,linear,1.0,0.001,0.3955546112901004,0.38,16.811277866363525,16.811277866363525
SIFT,500,2,500,0.3,linear,10.0,scale,0.39169863142664896,0.374,17.61350393295288,17.61350393295288
SIFT,500,2,500,0.3,linear,10.0,0.01,0.39169863142664896,0.374,17.748191833496094,17.748191833496094
SIFT,500,2,500,0.3,linear,10.0,0.001,0.39169863142664896,0.374,18.294326066970825,18.294326066970825
SIFT,500,2,500,0.3,rbf,0.1,scale,0.45043449844797256,0.442,25.165743827819824,25.165743827819824
SIFT,500,2,500,0.3,rbf,0.1,0.01,0.38506860228884626,0.262,13.75023365020752,13.75023365020752
SIFT,500,2,500,0.3,rbf,0.1,0.001,0.3832850805445015,0.313,14.209121942520142,14.209121942520142
SIFT,500,2,500,0.3,rbf,1.0,scale,0.44989437803448845,0.447,25.278267860412598,25.278267860412598
SIFT,500,2,500,0.3,rbf,1.0,0.01,0.3872419898347817,0.387,15.387994050979614,15.387994050979614
SIFT,500,2,500,0.3,rbf,1.0,0.001,0.38624925841198454,0.249,14.183053016662598,14.183053016662598
SIFT,500,2,500,0.3,rbf,10.0,scale,0.4294063576373697,0.435,34.25641107559204,34.25641107559204
SIFT,500,2,500,0.3,rbf,10.0,0.01,0.3963351034039531,0.379,17.468703985214233,17.468703985214233
SIFT,500,2,500,0.3,rbf,10.0,0.001,0.38705247742587245,0.388,15.2533860206604,15.2533860206604
SIFT,500,2,500,0.4,linear,0.1,scale,0.39401915101155127,0.401,12.48023796081543,12.48023796081543
SIFT,500,2,500,0.4,linear,0.1,0.01,0.39401915101155127,0.401,12.568315982818604,12.568315982818604
SIFT,500,2,500,0.4,linear,0.1,0.001,0.39401915101155127,0.401,12.481180906295776,12.481180906295776
SIFT,500,2,500,0.4,linear,1.0,scale,0.3938841259729814,0.395,13.176936864852905,13.176936864852905
SIFT,500,2,500,0.4,linear,1.0,0.01,0.3938841259729814,0.395,13.104414939880371,13.104414939880371
SIFT,500,2,500,0.4,linear,1.0,0.001,0.3938841259729814,0.395,13.18169903755188,13.18169903755188
SIFT,500,2,500,0.4,linear,10.0,scale,0.3926637608721311,0.395,13.336381196975708,13.336381196975708
SIFT,500,2,500,0.4,linear,10.0,0.01,0.3926637608721311,0.395,13.356762886047363,13.356762886047363
SIFT,500,2,500,0.4,linear,10.0,0.001,0.3926637608721311,0.395,13.269370079040527,13.269370079040527
SIFT,500,2,500,0.4,rbf,0.1,scale,0.4659157318984096,0.461,17.574872732162476,17.574872732162476
SIFT,500,2,500,0.4,rbf,0.1,0.01,0.3857549708596009,0.272,9.979425191879272,9.979425191879272
SIFT,500,2,500,0.4,rbf,0.1,0.001,0.39040751746711105,0.258,10.12834119796753,10.12834119796753
SIFT,500,2,500,0.4,rbf,1.0,scale,0.4663307283518681,0.471,18.195690870285034,18.195690870285034
SIFT,500,2,500,0.4,rbf,1.0,0.01,0.39310755332953196,0.407,10.984980821609497,10.984980821609497
SIFT,500,2,500,0.4,rbf,1.0,0.001,0.38380360602550173,0.287,10.039417266845703,10.039417266845703
SIFT,500,2,500,0.4,rbf,10.0,scale,0.45032294709515464,0.45,24.436737060546875,24.436737060546875
SIFT,500,2,500,0.4,rbf,10.0,0.01,0.3958267346308696,0.4,12.29831600189209,12.29831600189209
SIFT,500,2,500,0.4,rbf,10.0,0.001,0.3888323625653186,0.395,11.09502100944519,11.09502100944519
